Código Departamento,Código Municipio,Nombre Departamento,Nombre Municipio
73,73686,Tolima,Santa Isabel
76,76670,Valle del Cauca,San Pedro
05,05591,Antioquia,Puerto Triunfo
68,68679,Santander,San Gil
86,86569,Putumayo,Puerto Caicedo
05,05670,Antioquia,San Roque
05,05789,Antioquia,Támesis
23,23555,Córdoba,Planeta Rica
15,15090,Boyacá,Berbeo
08,08849,Atlántico,Usiacurí
27,27413,Chocó,Lloró
08,08638,Atlántico,Sabanalarga
05,05321,Antioquia,Guatapé
70,70823,Sucre,Tolú Viejo
25,25843,Cundinamarca,Villa de de Ubaté
52,52399,Nariño,La Unión
18,18753,Caquetá,San Vicente del Caguán
08,08770,Atlántico,Suan
13,13780,Bolívar,Talaigua Nuevo
13,13300,Bolívar,Hatillo de Loba
52,52678,Nariño,Samaniego
41,41676,Huila,Santa María
54,54003,Norte de Santander,Ábrego
17,17777,Caldas,Supía
25,25372,Cundinamarca,Junín
68,68167,Santander,Charalá
13,13244,Bolívar,El Carmen de Bolívar
18,18410,Caquetá,La Montañita
25,25873,Cundinamarca,Villapinzón
27,27150,Chocó,Carmen del Darién
08,08001,Atlántico,Barranquilla
52,52838,Nariño,Túquerres
15,15808,Boyacá,Tinjacá
15,15380,Boyacá,La Capilla
27,27450,Chocó,Medio San Juan
18,18001,Caquetá,Florencia
15,15180,Boyacá,Chiscas
68,68255,Santander,El Playón
23,23675,Córdoba,San Bernardo del Viento
15,15667,Boyacá,San Luis de Gaceno
25,25758,Cundinamarca,Sopó
05,05138,Antioquia,Cañasgordas
25,25885,Cundinamarca,Yacopí
73,73770,Tolima,Suárez
05,05579,Antioquia,Puerto Berrío
19,19364,Cauca,Jambaló
05,05652,Antioquia,San Francisco
05,05660,Antioquia,San Luis
70,70717,Sucre,San Pedro
73,73675,Tolima,San Antonio
54,54385,Norte de Santander,La Esperanza
91,91536,Amazonas,Puerto Arica
50,50150,Meta,Castilla la Nueva
19,19698,Cauca,Santander de Quilichao
05,05390,Antioquia,La Pintada
25,25154,Cundinamarca,Carmen de Carupa
66,66400,Risaralda,La Virginia
68,68673,Santander,San Benito
05,05585,Antioquia,Puerto Nare
70,70708,Sucre,San Marcos
54,54398,Norte de Santander,La Playa
91,91669,Amazonas,Puerto Santander
15,15189,Boyacá,Ciénega
44,44420,La Guajira,La Jagua del Pilar
20,20383,Cesar,La Gloria
73,73678,Tolima,San Luis
68,68179,Santander,Chipatá
91,91407,Amazonas,La Pedrera
05,05667,Antioquia,San Rafael
91,91405,Amazonas,La Chorrera
19,19701,Cauca,Santa Rosa
25,25662,Cundinamarca,San Juan de Rioseco
47,47980,Magdalena,Zona Bananera
76,76377,Valle del Cauca,La Cumbre
68,68397,Santander,La Paz
17,17380,Caldas,La Dorada
20,20400,Cesar,La Jagua de Ibirico
66,66572,Risaralda,Pueblo Rico
70,70418,Sucre,Los Palmitos
66,66383,Risaralda,La Celia
50,50350,Meta,La Macarena
47,47161,Magdalena,Cerro de San Antonio
17,17662,Caldas,Samaná
86,86755,Putumayo,San Francisco
15,15842,Boyacá,Úmbita
13,13620,Bolívar,San Cristóbal
27,27580,Chocó,Río Iró
08,08433,Atlántico,Malambo
13,13042,Bolívar,Arenal
54,54206,Norte de Santander,Convención
15,15580,Boyacá,Quípama
25,25099,Cundinamarca,Bojacá
15,15236,Boyacá,Chivor
23,23464,Córdoba,Momil
50,50006,Meta,Acacías
05,05490,Antioquia,Necoclí
23,23500,Córdoba,Moñitos
52,52258,Nariño,El Tablón de Gómez
23,23189,Córdoba,Ciénaga de Oro
50,50325,Meta,Mapiripán
13,13468,Bolívar,Mompós
15,15224,Boyacá,Cucaita
23,23417,Córdoba,Lorica
68,68684,Santander,San José de Miranda
15,15542,Boyacá,Pesca
52,52240,Nariño,Chachagüí
08,08675,Atlántico,Santa Lucía
73,73411,Tolima,Líbano
85,85225,Casanare,Nunchía
13,13030,Bolívar,Altos del Rosario
68,68705,Santander,Santa Bárbara
23,23079,Córdoba,Buenavista
52,52612,Nariño,Ricaurte
94,94885,Guainía,La Guadalupe
41,41244,Huila,Elías
52,52540,Nariño,Policarpa
25,25339,Cundinamarca,Gutiérrez
47,47703,Magdalena,San Zenón
52,52687,Nariño,San Lorenzo
15,15087,Boyacá,Belén
19,19548,Cauca,Piendamó
15,15272,Boyacá,Firavitoba
27,27800,Chocó,Unguía
15,15550,Boyacá,Pisba
85,85325,Casanare,San Luis de Palenque
18,18610,Caquetá,San José del Fragua
70,70713,Sucre,San Onofre
25,25402,Cundinamarca,La Vega
86,86757,Putumayo,San Miguel
50,50686,Meta,San Juanito
47,47460,Magdalena,Nueva Granada
05,05686,Antioquia,Santa Rosa de Osos
05,05664,Antioquia,San Pedro los Milagros
05,05674,Antioquia,San Vicente Ferrer
81,81220,Arauca,Cravo Norte
19,19392,Cauca,La Sierra
54,54673,Norte de Santander,San Cayetano
05,05376,Antioquia,La Ceja
17,17388,Caldas,La Merced
23,23350,Córdoba,La Apartada
54,54871,Norte de Santander,Villa Caro
05,05380,Antioquia,La Estrella
44,44650,La Guajira,San Juan del Cesar
68,68655,Santander,Sabana de Torres
41,41378,Huila,La Argentina
91,91430,Amazonas,La Victoria
70,70702,Sucre,San Juan de Betulia
19,19110,Cauca,Buenos Aires
50,50590,Meta,Puerto Rico
47,47660,Magdalena,Sabanas de San Ángel
15,15109,Boyacá,Buenavista
66,66318,Risaralda,Guática
68,68533,Santander,Páramo
15,15764,Boyacá,Soracá
15,15218,Boyacá,Covarachía
23,23182,Córdoba,Chinú
15,15837,Boyacá,Tuta
19,19532,Cauca,Patía
91,91798,Amazonas,Tarapacá
15,15455,Boyacá,Miraflores
15,15051,Boyacá,Arcabuco
97,97001,Vaupés,Mitú
52,52685,Nariño,San Bernardo
17,17174,Caldas,Chinchiná
15,15861,Boyacá,Ventaquemada
23,23678,Córdoba,San Carlos
15,15106,Boyacá,Briceño
08,08634,Atlántico,Sabanagrande
52,52019,Nariño,Albán
86,86573,Putumayo,Puerto Leguízamo
52,52233,Nariño,Cumbitara
25,25175,Cundinamarca,Chía
13,13654,Bolívar,San Jacinto
54,54128,Norte de Santander,Cáchira
25,25290,Cundinamarca,Fusagasugá
05,05240,Antioquia,Ebéjico
25,25019,Cundinamarca,Albán
17,17513,Caldas,Pácora
68,68327,Santander,Güepsa
13,13688,Bolívar,Santa Rosa del Sur
05,05890,Antioquia,Yolombó
15,15822,Boyacá,Tota
73,73443,Tolima,San Sebastián de Mariquita
20,20614,Cesar,Río de Oro
15,15362,Boyacá,Iza
15,15223,Boyacá,Cubará
19,19821,Cauca,Toribío
13,13873,Bolívar,Villanueva
52,52287,Nariño,Funes
15,15293,Boyacá,Gachantivá
15,15522,Boyacá,Panqueba
63,63212,Quindio,Córdoba
94,94883,Guainía,San Felipe
25,25483,Cundinamarca,Nariño
05,05021,Antioquia,Alejandría
25,25126,Cundinamarca,Cajicá
52,52250,Nariño,El Charco
47,47189,Magdalena,Ciénaga
68,68385,Santander,Landázuri
85,85230,Casanare,Orocué
15,15022,Boyacá,Almeida
86,86219,Putumayo,Colón
25,25377,Cundinamarca,La Calera
76,76111,Valle del Cauca,Guadalajara de Buga
20,20621,Cesar,La Paz
50,50223,Meta,San Luis de Cubarral
50,50577,Meta,Puerto Lleras
86,86865,Putumayo,Valle del Guamuez
50,50287,Meta,Fuente de Oro
68,68524,Santander,Palmas del Socorro
50,50683,Meta,San Juan de Arama
20,20750,Cesar,San Diego
54,54405,Norte de Santander,Los Patios
68,68686,Santander,San Miguel
50,50680,Meta,San Carlos de Guaroa
54,54874,Norte de Santander,Villa del Rosario
85,85250,Casanare,Paz de Ariporo
50,50270,Meta,El Dorado
47,47245,Magdalena,El Banco
54,54245,Norte de Santander,El Carmen
19,19256,Cauca,El Tambo
70,70233,Sucre,El Roble
54,54250,Norte de Santander,El Tarra
05,05148,Antioquia,El Carmen de Viboral
68,68245,Santander,El Guacamayo
76,76246,Valle del Cauca,El Cairo
95,95025,Guaviare,El Retorno
44,44110,La Guajira,El Molino
54,54261,Norte de Santander,El Zulia
05,05250,Antioquia,El Bagre
05,05697,Antioquia,El Santuario
50,50245,Meta,El Calvario
91,91263,Amazonas,El Encanto
25,25245,Cundinamarca,El Colegio
20,20238,Cesar,El Copey
50,50251,Meta,El Castillo
25,25260,Cundinamarca,El Rosal
25,25001,Cundinamarca,Agua de Dios
76,76250,Valle del Cauca,El Dovio
76,76248,Valle del Cauca,El Cerrito
20,20250,Cesar,El Paso
15,15322,Boyacá,Guateque
05,05107,Antioquia,Briceño
52,52427,Nariño,Magüí
27,27660,Chocó,San José del Palmar
52,52506,Nariño,Ospina
25,25867,Cundinamarca,Vianí
20,20770,Cesar,San Martín
13,13248,Bolívar,El Guamo
05,05310,Antioquia,Gómez Plata
94,94343,Guainía,Barranco Minas
50,50573,Meta,Puerto López
15,15600,Boyacá,Ráquira
13,13667,Bolívar,San Martín de Loba
94,94886,Guainía,Cacahual
52,52317,Nariño,Guachucal
68,68296,Santander,Galán
19,19100,Cauca,Bolívar
15,15135,Boyacá,Campohermoso
13,13268,Bolívar,El Peñón
15,15761,Boyacá,Somondoco
13,13683,Bolívar,Santa Rosa
19,19318,Cauca,Guapí
25,25486,Cundinamarca,Nemocón
05,05856,Antioquia,Valparaíso
27,27205,Chocó,Condoto
15,15047,Boyacá,Aquitania
73,73055,Tolima,Armero 
